ticker,earningsPriceChanges,averagePriceChange
BILI,"[-0.076, -0.124, -0.019, -0.111, 0.007, 0.013, 0.097, 0.223, -0.15, -0.148, -0.079, -0.09]",9.475%
SOWG,"[-0.348, 0.419, 0.298, 0.454]",37.975%
BN,"[0.036, 0.006, 0.02, 0.001, 0.05, 0.002, -0.002, 0.103, 0.011, -0.03, 0.05]",2.827%
NTES,"[-0.112, -0.037, -0.039, -0.024, -0.039, 0.027, -0.037, -0.005, -0.06, -0.017, 0.014, 0.0]",3.425%
OCUL,"[0.061, -0.03, -0.045, -0.134, -0.108, 0.023, 0.054, -0.11, -0.03, 0.018, -0.014]",5.7%
AZUL,"[-0.108, 0.022, -0.089, 0.1, 0.109, 0.004, 0.406, -0.204, 0.025, -0.07, -0.078]",11.045%
BRAG,"[-0.042, 0.05, 0.012, -0.012, -0.021, -0.027, 0.078, -0.072, -0.03, -0.098, 0.028]",4.273%
CASI,"[0, -0.052, 0.203, 0.011, 0.036, -0.076, -0.044, -0.045, -0.108, -0.06, 0.071]",6.418%
DTI,"[-0.088, 0.02, 0.027, -0.003, -0.015]",3.06%
EFXT,"[0.07, -0.218, 0.068, 0.104, -0.113, 0.06, 0.022, 0.046, 0.142, -0.065, -0.034]",8.564%
GAMB,"[0.234, -0.074, -0.036, -0.204, 0.157, -0.003, -0.009, 0.037, 0.004, 0.006, -0.001, -0.139]",7.533%
HP,"[0.088, -0.047, 0.12, -0.023, 0.046, -0.037, -0.004, 0.006, -0.007, 0.107, 0.059, -0.165]",5.908%
IMAB,"[-0.071, 0.033, -0.03, -0.017, 0.026, 0.151]",5.467%
NOMD,"[0.005, 0.06, 0.002, 0.141, 0.016, -0.014, -0.035, 0.002, 0.004, 0.056, -0.018]",3.209%
ONEW,"[-0.155, 0.141, 0.041, -0.039, -0.288, 0.085, -0.089, -0.035, 0.007, 0.047, 0.005, 0.063]",8.292%
QBTS,"[-0.012, 0.054, -0.029, -0.174, -0.124, -0.213, -0.231, 0.008, -0.009]",9.489%
SBH,"[0.097, -0.044, 0.067, 0.082, -0.009, -0.131, 0.112, 0.045, -0.018, -0.068, 0.034, 0.101]",6.733%
TLSI,"[0.007, -0.075, 0.051, -0.002]",3.375%
WKHS,"[-0.092, -0.128, -0.001, -0.068, -0.02, -0.148, 0.011, -0.242, 0.043, 0.195, -0.036, 0.018]",8.35%
ZK,[-0.065],6.5%
AFMD,"[0.011, 0.051, -0.006, -0.03, -0.029, -0.097, -0.064, 0.113, -0.091, 0.01, 0.021]",4.755%
CINT,"[0.01, 0.084, -0.108, -0.051, 0.052, 0.02, -0.006, -0.052, -0.148, 0.083, -0.031, 0.086]",6.092%
CRIS,"[-0.099, 0.002, 0.134, -0.042, -0.088, -0.039, -0.084, 0.136, 0.011, -0.039, 0.009]",6.209%
ECC,"[0.013, 0.006, 0.016, 0.013, 0, -0.006, 0.023, 0.005, 0.031, 0.007, -0.002, 0.026]",1.233%
EIC,"[0.021, 0.003, 0.025, -0.001, 0.004, 0.015, 0.039, 0.007, -0.005, 0.014, -0.01, -0.005]",1.242%
CRKN,"[-0.102, -0.029, -0.04, -0.074, -0.247, 0.112, -0.157, -0.04, 0.059]",9.556%
DAO,"[-0.09, -0.022, -0.052, -0.083, -0.024, -0.145, 0.032, 0.026, -0.063, -0.181, 0.015, 0.172]",7.542%
DTST,"[-0.138, 0.089, -0.251, 0.064, 0.046, 0.026, 0.071, -0.033, 0.038, 0.5, 0.009]",11.5%
GGR,"[-0.016, -0.018, 0.005, -0.023, -0.007, -0.009, -0.098, 0.119, 0.022, -0.042, -0.008]",3.336%
GRAM,"[-0.2, 0, 0.071, 0, 0, 0.063, 0, -0.091, -0.024, -0.078, -0.048, -0.214]",6.575%
INV,[],0.0%
IPWR,"[-0.053, -0.041, -0.024, -0.039, -0.054, 0.048, 0.001, 0.015, -0.024, 0.151, 0.001]",4.1%
JG,"[0.035, 0.003, 0.023, -0.111, -0.016, -0.093, -0.019, -0.006, 0.011, -0.133, 0.015, -0.084]",4.575%
NLCP,"[-0.002, 0.013, 0.011, 0.014, 0.038, -0.001, -0.047, 0.104, -0.055, -0.013, 0.01]",2.8%
OCFT,"[-0.045, 0.027, -0.033, 0.056, -0.024, -0.052, -0.055, -0.068, 0, 0.007, 0, 0.008]",3.125%
POLA,"[0, -0.074, -0.06, -0.022, 0.033, 0, 0, 0.026, -0.034, 0.183, -0.042, -0.008]",4.017%
SPH,"[0.002, -0.026, 0.007, -0.014, 0.009, -0.042, -0.009, -0.027, -0.022, -0.018, -0.021, 0.015]",1.767%
VEON,"[0.003, -0.034, 0.047, -0.001, 0.015, 0.067, 0.042, 0.027, -0.007, -0.36, 0.01, 0.019]",5.267%
XNET,"[-0.012, -0.055, -0.052, -0.074, 0.037, -0.015, 0.167, -0.028, 0.129, -0.069, 0.061, -0.084]",6.525%
ZCAR,[-0.124],12.4%
AMAT,"[-0.019, -0.009, 0.063, -0.04, 0.037, -0.023, 0.0, 0.002, -0.034, -0.039, -0.032, -0.055]",2.942%
ASTS,"[0.507, 0.686, -0.236, 0.236, -0.158, -0.008, -0.209, -0.061, 0.093, 0.061, -0.004]",20.536%
OKLO,[0.026],2.6%
DESP,"[-0.062, 0.191, 0.145, 0.003, -0.067, 0.042, 0.022, -0.034, -0.011, 0.007, 0.022, 0.023]",5.242%
GLOB,"[0.051, -0.056, -0.063, 0.118, 0.079, 0.104, 0.068, -0.04, -0.024, -0.015, 0.003, -0.013]",5.283%
POST,"[0.03, -0.021, 0.077, -0.014, 0.027, 0.007, 0.014, -0.007, 0.027, 0.07, -0.012, -0.037]",2.858%
AKYA,"[-0.065, -0.296, -0.147, 0.109, 0.03, 0.037, -0.023, -0.098, 0.032, -0.041, 0.042]",8.364%
BNZI,[-0.006],0.6%
CWCO,"[0.011, -0.032, -0.025, 0.108, 0.113, 0.134, 0.068, -0.218, 0.002, 0.059, 0.027, -0.012]",6.742%
DARE,"[0.2, 0, -0.107, -0.07, -0.023, 0, 0.019, -0.023, -0.024, 0.096, 0.014]",5.236%
DFLI,"[-0.104, -0.252, 0.356, -0.229, -0.156, -0.014, -0.293, -0.017]",17.762%
EAST,"[0.014, -0.289, -0.162, -0.097, -0.261, 0.287, -0.229, 0.006, 0.015, -0.002, -0.083, -0.113]",12.983%
ELUT,"[0.081, 0.175, -0.097, 0.116, 0.067, -0.077, 0.176, 0.012, -0.033, -0.104, 0.07]",9.164%
ESE,"[0.035, -0.058, -0.059, 0.013, 0.027, 0.018, -0.061, 0.036, 0.031, 0.069, -0.059, 0.019]",4.042%
FSI,"[0.238, 0.068, -0.023, -0.122, 0.007, 0.027, -0.02, 0.082, 0.041, -0.084]",7.12%
GCTS,"[0.053, -0.061]",5.7%
IZEA,"[0.068, -0.043, 0.096, -0.004, -0.028, 0.037, -0.058, -0.018, 0.11, -0.078, 0.153]",6.3%
ORGN,"[0.222, -0.132, -0.085, -0.185, -0.663, 0.067, 0.027, 0.064, 0.073, -0.047, 0.01, 0.013]",13.233%
PBLA,"[0, 0.2, 0.047, 0.027, -0.041, -0.033, -0.229, 0.041, -0.126, -0.003, -0.014, 0.03]",6.592%
REKR,"[-0.079, -0.242, -0.019, -0.083, 0.101, 0, -0.077, 0.03, -0.159, 0.024, 0.011, -0.359]",9.867%
RSSS,"[0.007, 0.028, -0.028, -0.017, 0.095, -0.019, 0.009, 0.063, 0, 0.056, 0.06, -0.055]",3.642%
SBS,"[0.068, -0.018, 0.021, 0.006, 0.047, 0.08, -0.002, 0.038, -0.031, 0.007, -0.01, -0.036]",3.033%
SOL,"[0.149, -0.071, 0.212, -0.13, -0.055, 0.048, -0.022, 0.167, -0.061, -0.01, -0.079, 0.002]",8.383%
SRFM,"[-0.169, -0.135, -0.11, 0.032, -0.175]",12.42%
SRTS,"[0.014, 0.388, 0.063, -0.144, 0.14, -0.444, -0.205, -0.512, -0.005, 0.089, 0.037, -0.007]",17.067%
SYTA,"[-0.163, -0.15, -0.053, -0.153, 0.244, -0.157, -0.117, 0.043, -0.015, 0.067, -0.027, 0.005, -0.176]",10.538%
BNAI,"[-0.071, -0.261]",16.6%
CNVS,"[0, -0.122, -0.298, -0.009, -0.211, -0.174, -0.004, -0.096, -0.172, -0.104, 0.418, -0.3]",15.9%
MFON,"[-0.054, 0, -0.177, -0.044, -0.063, 0.032, 0.262, 0.02, -0.02, -0.155, -0.178, -0.013]",8.483%
MOVE,"[-0.008, -0.063, 0.08, -0.121, -0.09, -0.081, 0.015, -0.05, 0, 0.054, -0.004]",5.145%
NXGL,"[-0.044, -0.056, -0.018, -0.179, 0.017, -0.059, 0, -0.16, -0.022, 0.021, -0.058, -0.044]",5.65%
SIDU,"[-0.184, -0.034, -0.046, -0.229, -0.098, -0.041, -0.036, -0.028, 0.041, 0.131, 0.032]",8.182%
STCB,"[0.25, 0, -0.143, 0]",9.825%
TIVC,"[-0.065, -0.04, 0.058, -0.138, 0, -0.316, -0.118, 0, -0.005, -0.006, -0.02]",6.964%
TRAK,"[-0.024, 0.022, -0.036, -0.018, 0.063, 0, 0.06, -0.097, 0.08, -0.179, 0.08, 0]",5.492%
TTOO,"[0.032, -0.107, -0.147, -0.529, 0.267, -0.339, -0.038, 0.027, -0.211, -0.214, 0.159, -0.036]",17.55%
VUZI,"[0.026, -0.024, -0.173, -0.034, -0.129, -0.041, 0.056, 0.166, -0.072, 0.038, 0.144, -0.072]",8.125%
BABA,"[0.001, -0.06, -0.059, -0.091, 0.046, -0.054, -0.007, 0.078, 0.018, 0.148, -0.007, -0.111]",5.667%
SPB,"[0.106, 0.119, 0.077, -0.118, 0.03, -0.009, -0.002, -0.04, -0.009, 0.039, 0.002, 0.092]",5.358%
WISA,"[-0.309, -0.059, -0.103, -0.067, -0.168, -0.225, -0.311, 0.003, -0.234, -0.125, -0.167, -0.055]",15.217%
AIM,"[0.034, -0.025, -0.082, 0.044, -0.072, -0.045, -0.023, 0.042, 0.013, -0.01, 0, -0.041]",3.592%
NEXN,"[0.043, 0.031, 0.041, -0.011, -0.305, 0.086, -0.131, -0.261, -0.226, 0.017, 0.147]",11.809%
RLX,"[-0.006, -0.051, -0.046, 0.147, 0.035, 0.038, 0.151, -0.101, 0.016, -0.056, -0.365, -0.166]",9.817%
LWAY,"[0.486, -0.086, 0.247, -0.256, 0.19, 0.002, 0.021, 0.049, -0.036, -0.072, -0.03]",13.409%
BTDR,"[-0.035, -0.009, -0.009, -0.05, 0.354, -0.016, -0.041]",7.343%
MFG,"[0.069, 0.038, 0.019, 0.021, 0.003, 0.007, 0, -0.018, 0.021, 0.013, -0.004]",1.936%
BRC,"[0.005, 0.114, -0.053, -0.016, 0.114, 0.036, 0.034, 0.011, -0.005, 0.053, -0.027, -0.069]",4.475%
DYN,"[-0.012, 0.013, 0.003, -0.066, 0.106, -0.022, -0.029, 0.051, 0.096, 0.031, 0.035, 0.012]",3.967%
BLRX,"[-0.128, 0.059, -0.208, 0.006, 0.045, 0.04, 0.027, -0.042, -0.063, -0.124, -0.033, -0.04]",6.792%
APGE,"[0.098, -0.009, 0.421, 0.073, -0.018]",12.38%
LPTX,"[-0.033, 0.018, -0.032, 0.036, 0.017, 0, -0.036, 0.126, -0.008, 0.346, -0.006]",5.982%
INDP,"[0.009, 0.006, 0.01, -0.034, -0.101, 0.078, -0.093, 0.066, 0.159, -0.006, 0.05, -0.008]",5.167%
TWST,"[-0.19, 0.287, 0.1, 0.259, 0.112, -0.004, -0.181, -0.023, 0.127, 0.008, -0.024, -0.113]",11.9%
AERG,[],0.0%
LIPO,"[-0.016, 0.06]",3.8%
AJINY,"[0.018, -0.023, 0.001, -0.005, 0.058, 0.006, 0.004, 0.014, 0.004, 0.0, 0.009, 0.0]",1.183%
AIRT,"[0.01, 0.011, -0.137, -0.134, 0.025, -0.012, 0.011, 0.007, 0, 0.034, -0.037]",3.8%
AKTX,"[-0.003, 0.014, -0.188, -0.032, -0.09, 0.022, -0.073, 0.018, 0.013, -0.027, -0.022]",4.564%
ARTH,[],0.0%
ETST,"[-0.048, 0.167, 0.167, 0.5, 0.333, 0]",20.25%
BSFC,"[-0.043, -0.012, -0.083, -0.116, 0.009, -0.05, -0.054, -0.072, 0.035, 0.072, 0.031]",5.245%
CANB,"[0, -0.048, -0.097, -0.031, 0.037]",4.26%
SALM,"[-0.08, -0.028, -0.083, -0.211, -0.174, -0.105, -0.159, -0.27, 0.014, -0.022, 0.011, 0.072]",10.242%
GIPR,"[0.049, 0.025, 0, 0.003, 0.011, 0.037, 0.037, -0.016, -0.014, -0.004, -0.097]",2.664%
CPHI,"[0.031, -0.022, -0.053, -0.081, -0.025, -0.085, 0.004, -0.031]",4.15%
GRVY,"[-0.111, -0.009, 0.008, 0.049, 0.012, 0.083, 0.099, -0.083, 0.045, 0.124, -0.264]",8.064%
ELRNF,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0%
MINM,"[0.074, 0.012, -0.075, 0.144, -0.246, -0.217, -0.08, -0.026, -0.2]",11.933%
XBIT,[],0.0%
PXS,"[0.018, -0.015, 0.019, 0.058, -0.05, -0.029, -0.055, -0.07, 0.052, 0, 0.027, -0.047]",3.667%
ENG,"[0.05, -0.006, -0.017, -0.028, -0.015, -0.208, -0.109, -0.022, -0.102, -0.058]",6.15%
HOUR,"[0.31, -0.076, -0.158, 0.043, -0.006, -0.026, -0.015, 0.077, -0.078, -0.095]",8.84%
SNTI,"[0.102, -0.003, -0.066, -0.194, 0.001, -0.08, 0.025, 0.083, -0.02]",6.378%
SCPX,"[-0.105, 0.076, -0.011, -0.087, -0.002, 0, -0.009, -0.006, -0.064, 0.109, -0.094, 0.012]",4.792%
FRZA,"[-0.077, -0.08, -0.024, -0.02, 0.1, -0.017, -0.032, 0.034, -0.004]",4.311%
CREG,"[-0.011, -0.062, 0.012, 0.014, -0.058]",3.14%
HCMC,[],0.0%
LONCF,"[0, 0, 0, 0.087, 0, 0, 0.069, -0.08, 0, 0.03, 0]",2.418%
ITOCY,"[0.001, -0.121, -0.049, -0.018, 0.014, 0.008, 0.029, -0.036, 0.008, -0.005, -0.045, -0.018]",2.933%
SIF,"[0.065, -0.051, -0.152, 0.119, 0, 0.062, -0.048, 0.02, -0.005, -0.041, -0.098]",6.009%
MNTR,"[0, 0, 0, 0, 0, 0, -0.25, -0.167, -0.2, 0.2, -0.2]",9.245%
GP,"[0.163, -0.091, -0.038, -0.073, -0.015, -0.059, -0.055, -0.011]",6.312%
JRSH,"[-0.045, -0.003, 0.017, -0.06, -0.006, -0.061, -0.01, 0.045, -0.052, -0.106, 0.037]",4.018%
SMSEY,"[-0.026, 0.001, -0.014, -0.049, -0.021, 0.003, 0.049, 0.036, -0.007, -0.047, 0.096, 0.01]",2.992%
NIU,"[-0.016, -0.109, -0.034, 0.021, -0.057, 0.093, -0.09, -0.139, -0.067, -0.047, -0.169, -0.168]",8.417%
NMRD,"[0, -0.2, 0, 0.042, 0.026, -0.031, -0.073, -0.058, -0.072, -0.019, -0.002]",4.755%
kscp,[-0.05],5.0%
TOVX,"[-0.004, 0.045, -0.051, -0.064, -0.021, -0.033, 0, -0.039, 0, 0.006, 0.376, -0.006]",5.375%
NXU,"[0.009, -0.017]",1.3%
LVWD,"[0.154, 0.063, -0.056, 0, 0, 0.111, 0.733, 0.286, 0.063, 0, 0.167]",14.845%
MAMO,"[-0.103, -0.021, 0.109]",7.767%
UG,"[-0.02, 0.055, -0.017, 0.278, -0.007, -0.028, -0.129, -0.059, -0.044, 0.005, 0.013, 0.046]",5.842%
TATT,"[-0.033, 0.01, -0.107, 0.077, 0.059, 0.054, 0.059, 0, 0.032, -0.031, -0.002, -0.067]",4.425%
SNOA,"[0.139, -0.006, -0.006, -0.03, 0.035, 0.013, 0.072, -0.008, -0.021, -0.069, -0.031]",3.909%
NORD,[],0.0%
WTM,"[-0.01, 0.004, -0.006, -0.009, 0.006, 0.022, -0.004, -0.007, 0.003, 0.009, 0.023, 0.008]",0.925%
SMTK,"[-0.015, 0.023, 0.273]",10.367%
SBET,"[0.026, 0.07, -0.029, -0.012, -0.059, -0.087, 0.015, 0.027]",4.063%
UTGN,[],0.0%
XXII,"[0.019, -0.086, -0.109, -0.167, -0.025, -0.013, -0.181, -0.051, -0.057, -0.043, -0.017, 0.177]",7.875%
VCNX,"[-0.033, -0.036, -0.006, -0.085, -0.075, 0.056, -0.014, -0.027, -0.008, 0, -0.02, -0.043]",3.358%
