ticker,earningsPriceChanges,averagePriceChange
MRCC,"[0.011, 0.016, 0.003, -0.009, 0.005, -0.043, 0.021, -0.009, 0.031, -0.007, 0.008, -0.024]",1.558%
MVST,"[0, -0.023, -0.344, 0.121, -0.024, 0.427, -0.039, 0.008, 0.061, 0.19, -0.078, 0.005]",11.0%
SU,"[0.046, 0.003, -0.002, 0.036, -0.016, -0.011, -0.001, 0.035, -0.015, -0.014, -0.039]",1.982%
ZVRA,"[-0.004, -0.11, -0.035, 0.038, 0.071, -0.194, -0.14, -0.011, -0.033, -0.055, 0.029, -0.107]",6.892%
ALTG,"[-0.217, -0.154, 0.051, 0.169, -0.074, 0.008, -0.118, 0.084, 0.165, -0.025, 0.116]",10.736%
BLFS,"[0.11, 0.085, 0.063, -0.039, -0.287, -0.019, 0.077, 0.428, 0.188, 0.078, 0.009]",12.573%
BW,"[0.063, 0.057, -0.227, -0.545, 0.034, 0, -0.007, 0.042, -0.091, -0.244, 0.05]",12.364%
CATX,"[0.057, -0.108, -0.008, 0.086, -0.018, -0.215, -0.274, -0.087, 0.068]",10.233%
CLSD,"[-0.009, -0.074, -0.006, -0.021, -0.066, -0.069, -0.092, -0.086, -0.018, -0.062, 0.422]",8.409%
CRNX,"[-0.061, -0.029, -0.043, -0.036, -0.039, 0.046, 0, 0.002, -0.002, 0.059, 0.155]",4.291%
CWD,"[0.037, 0, 0.101, -0.085, -0.005]",4.56%
DHX,"[0.169, -0.098, 0.137, 0.048, 0.008, -0.082, -0.231, -0.139, -0.193, 0.158, 0.005]",11.527%
DSP,"[-0.003, -0.075, 0.065, 0.117, 0.286, 0.061, 0.159, 0.041, -0.025, -0.065, -0.181]",9.8%
EGAN,"[-0.14, -0.125, -0.242, 0.083, -0.078, -0.049, -0.116, 0.198, -0.143, -0.004, 0.268]",13.145%
FGEN,"[0.045, 0.181, 0.146, -0.018, -0.186, -0.02, -0.014, -0.124, -0.033, 0.258, -0.032]",9.609%
FNA,"[-0.201, -0.132, -0.058, -0.071, -0.068, -0.02, 0.006, 0.113, -0.022, -0.017, 0.141, -0.028]",7.308%
HYPR,"[0.027, 0.1, -0.106, -0.214, -0.021, 0, -0.097, 0.026, -0.231, -0.041, -0.062]",8.409%
ICUI,"[0.243, -0.011, 0.053, -0.173, -0.166, 0.136, -0.039, 0.024, -0.116, -0.082, 0.057]",10.0%
LEGH,"[-0.012, 0.107, -0.156, 0.206, -0.017, 0.011, 0.132, 0.043, -0.009]",7.7%
LXRX,"[-0.158, 0.024, 0.295, -0.088, -0.026, 0.151, 0.229, 0.143, 0.035, -0.046, -0.274]",13.355%
NATL,"[-0.065, 0.134, -0.051, 0.02]",6.75%
NGL,"[0.051, -0.071, 0.01, -0.05, -0.072, 0.06, 0.216, -0.101, -0.052, -0.028, -0.226]",8.518%
NOTE,"[-0.044, 0.057, -0.207, -0.318, -0.226, 0.236, 0.111, 0.107, -0.057]",15.144%
NPCE,"[-0.07, -0.367, -0.015, -0.018, 0.098, -0.008, -0.024, -0.17, -0.07, -0.018, 0.062]",8.364%
NRGV,"[-0.139, -0.161, 0.05, -0.026, -0.026, 0.068, -0.048, 0.216, 0.105, 0.034]",8.73%
NTRA,"[0.064, 0.102, 0.13, 0.098, 0.176, -0.034, 0.118, -0.127, 0.009, 0.058, 0.026]",8.564%
OABI,"[-0.012, 0.024, -0.052, -0.042, -0.055, -0.021, 0.048, -0.1]",4.425%
OPRT,"[0.062, 0.208, -0.092, -0.49, 0.303, 0.28, -0.346, 0.267, -0.285, 0.097, -0.015]",22.227%
PGNY,"[-0.19, -0.153, -0.151, -0.078, 0.061, 0.085, 0.208, 0.007, 0.382, 0.012, 0.095]",12.927%
PIII,"[-0.048, -0.027, -0.146, 0.061, 0.047, 0.041, -0.036, -0.092, 0.034, 0.025]",5.57%
PRDO,"[-0.008, 0.315, 0.003, -0.055, 0.143, -0.042, -0.01, 0.14, -0.063, -0.031, 0.031]",7.645%
PSQH,"[0.004, 0.003, -0.037, -0.084, -0.08]",4.16%
PTVE,"[-0.204, -0.124, -0.101, 0.206, 0.035, 0.051, -0.136, 0.085, 0.145, 0.043, -0.03]",10.545%
PUBM,"[-0.283, -0.06, 0.236, 0.236, -0.337, 0.128, -0.076, -0.142, 0.238, 0.024, -0.172, 0.091]",16.858%
PXLW,"[0.049, -0.353, -0.018, -0.078, 0.025, 0.11, -0.098, 0.043, -0.157, 0.104, -0.098, 0.134]",10.558%
RBOT,"[-0.053, 0.002, -0.018, -0.426, -0.057, -0.095, 0.136, -0.062, -0.027, -0.101, -0.146]",10.209%
RKDA,"[-0.11, -0.01, -0.072, -0.034, -0.027, -0.146, -0.051, -0.066, 0.126, 0.188, -0.259, -0.068]",9.642%
RMR,"[-0.01, -0.031, 0.036, -0.014, -0.002, -0.026, -0.033, -0.002, 0.017, 0.001, -0.002, -0.004]",1.483%
RPAY,"[-0.101, -0.024, 0.138, 0.044, 0.088, 0.052, -0.046, 0.507, -0.208, -0.172, 0.091, 0.134]",13.375%
RWAY,"[-0.067, -0.07, -0.144, 0.021, 0.022, -0.03, 0.066, -0.016, 0.03, -0.013, -0.01, -0.025]",4.283%
RXT,"[0.004, 0.005, -0.195, -0.014, 0.071, -0.111, 0.011, 0.358, -0.157, -0.053, -0.128, 0.114]",10.175%
SCOR,"[-0.331, -0.012, -0.059, -0.02, 0.097, -0.092, 0.034, 0.047, 0.079, -0.063, -0.053, 0.044]",7.758%
SHLS,"[-0.064, -0.147, -0.166, -0.1, -0.061, 0.223, 0.025, 0.219, 0.051, 0.107, 0.146, -0.064]",11.442%
SIBN,"[0.013, 0.083, -0.135, -0.021, -0.112, 0.072, 0.168, -0.243, -0.055, -0.127, -0.01, -0.018]",8.808%
SMTI,"[0.151, -0.068, 0.014, 0.194, -0.097, -0.084, 0.005, 0.048, 0.023, 0.059, 0.064, 0.009]",6.8%
SMWB,"[0.183, -0.06, 0.135, 0.022, -0.121, -0.039, 0.004, -0.268, 0.067, -0.02, -0.024, -0.133]",8.967%
SNCR,"[-0.038, 0.31, -0.091, -0.162, 0.068, -0.006, -0.186, -0.081, 0.018, 0.097, -0.11, 0.063]",10.25%
SND,"[0.062, -0.045, -0.041, 0.027, 0.076, -0.11, 0.142, -0.121, -0.169, -0.096, -0.198, -0.064]",9.592%
SPRY,"[-0.022, -0.007, -0.039, 0.087, -0.003, -0.029, -0.04, 0.032, 0.03, -0.023, -0.085, 0.023]",3.5%
